k,n,treated_share,grade_ate_lower,grade_ate_upper,grade_ate_midpoint,grade_ate_width,grade_obs_diff,pass_ate_lower,pass_ate_upper,pass_ate_midpoint,pass_ate_width,pass_obs_diff,joint_midpoint_score
33,411,0.0364963503649635,-3.4197566909975663,2.828418491484185,-0.29566909975669065,6.248175182481751,0.5661565523306944,-0.6918288726682889,0.3495336577453365,-0.17114760746147617,1.0413625304136254,0.1101509821166814,-0.11021289537712897
34,411,0.0340632603406326,-3.4226763990267646,2.8254987834549876,-0.2985888077858885,6.248175182481752,0.588612781954887,-0.692639902676399,0.3487226277372263,-0.17195863746958634,1.0413625304136254,0.12032357679914096,-0.1108617193836172
35,411,0.0340632603406326,-3.4226763990267646,2.8254987834549876,-0.2985888077858885,6.248175182481752,0.588612781954887,-0.692639902676399,0.3487226277372263,-0.17195863746958634,1.0413625304136254,0.12032357679914096,-0.1108617193836172
36,411,0.029197080291970802,-3.432944038929441,2.815231143552311,-0.3088564476885649,6.248175182481752,0.5668673647469467,-0.6968109141466805,0.34455161626694475,-0.17612964893986788,1.0413625304136254,0.10069080860965673,-0.11380286177731434
37,411,0.029197080291970802,-3.432944038929441,2.815231143552311,-0.3088564476885649,6.248175182481752,0.5668673647469467,-0.6968109141466805,0.34455161626694475,-0.17612964893986788,1.0413625304136254,0.10069080860965673,-0.11380286177731434
38,411,0.021897810218978103,-3.453333333333333,2.794841849148419,-0.32924574209245705,6.248175182481752,0.40268975468975476,-0.7027198470629127,0.33864268335071257,-0.18203858185610006,1.0413625304136254,0.0640338761767334,-0.11845643610242144
39,411,0.021897810218978103,-3.453333333333333,2.794841849148419,-0.32924574209245705,6.248175182481752,0.40268975468975476,-0.7027198470629127,0.33864268335071257,-0.18203858185610006,1.0413625304136254,0.0640338761767334,-0.11845643610242144
40,411,0.021897810218978103,-3.453333333333333,2.794841849148419,-0.32924574209245705,6.248175182481752,0.40268975468975476,-0.7027198470629127,0.33864268335071257,-0.18203858185610006,1.0413625304136254,0.0640338761767334,-0.11845643610242144
41,411,0.021897810218978103,-3.453333333333333,2.794841849148419,-0.32924574209245705,6.248175182481752,0.40268975468975476,-0.7027198470629127,0.33864268335071257,-0.18203858185610006,1.0413625304136254,0.0640338761767334,-0.11845643610242144
42,411,0.0170316301703163,-3.4607299270072995,2.787445255474453,-0.3366423357664232,6.248175182481752,0.4041638981173863,-0.7059639670953539,0.33539856331827134,-0.1852827018885413,1.0413625304136254,0.0436951783297298,-0.12069487892480592
43,411,0.014598540145985401,-3.460729927007299,2.787445255474453,-0.336642335766423,6.248175182481752,0.5344072164948459,-0.7059639670953539,0.33539856331827134,-0.1852827018885413,1.0413625304136254,0.08503006872852226,-0.12069487892480589
44,411,0.009732360097323601,-3.4598540145985406,2.788321167883211,-0.3357664233576647,6.248175182481752,1.0342692307692305,-0.7059639670953539,0.33539856331827134,-0.1852827018885413,1.0413625304136254,0.2289163614163614,-0.12062188622407603
45,411,0.0072992700729927005,-3.4689537712895366,2.779221411192214,-0.3448661800486612,6.24817518248175,0.8745950554134705,-0.7083970571196849,0.33296547329394033,-0.1877157919128723,1.0413625304136254,0.2043386919985385,-0.12259674429382458
46,411,0.004866180048661801,-3.4769829683698292,2.771192214111923,-0.35289537712895314,6.248175182481752,0.6696683673469392,-0.7108301471440158,0.33053238326960954,-0.19014888193720314,1.0413625304136254,0.15595541788143819,-0.124482389062681
47,411,0.0024330900243309003,-3.4835523114355222,2.764622871046229,-0.3594647201946466,6.248175182481751,0.36218829516539497,-0.7125680685899666,0.3287944618236588,-0.1918868033831539,1.0413625304136254,0.15555858475705786,-0.12589879504113083
48,411,0.0024330900243309003,-3.4835523114355222,2.764622871046229,-0.3594647201946466,6.248175182481751,0.36218829516539497,-0.7125680685899666,0.3287944618236588,-0.1918868033831539,1.0413625304136254,0.15555858475705786,-0.12589879504113083
